	gene	count
0	SLC25A5	59
1	RPL10	58
2	RPL39	57
3	RPL23A	57
4	UBC	57
5	RPL6	56
6	TUBA1B	55
7	RPS24	55
8	RPS5	55
9	PKM	55
10	FKBP1A	54
11	TPI1	54
12	COX6A1	54
13	RPSA	54
14	PPIA	54
15	EIF1	53
16	DAD1	53
17	HNRNPK	53
18	YWHAE	53
19	TUBB4B	53
20	CNBP	52
21	HSPA5	52
22	HNRNPA1	52
23	EIF3I	52
24	TOMM20	52
25	SNRPD2	51
26	PSMA7	51
27	HNRNPAB	51
28	EIF4H	51
29	SRP9	51
30	COX6B1	51
31	RHOA	51
32	ILF2	50
33	XRCC6	50
34	RAB7A	50
35	EIF4B	50
36	BSG	50
37	FAU	50
38	CALR	50
39	SRSF1	50
40	YWHAQ	50
41	GANAB	50
42	NONO	49
43	ACTR2	49
44	CCT3	49
45	CHCHD2	49
46	C1orf43	49
47	NCL	49
48	ARF1	49
49	ANP32B	49
50	ATF4	49
51	PSMB4	48
52	RPL18	48
53	RPS27	48
54	EIF4G2	47
55	CANX	47
56	RPL30	47
57	DDX5	47
58	PFN1	47
59	TMSB10	47
60	BTF3	47
61	HDGF	47
62	PCBP1	47
63	HNRNPA2B1	47
64	RPS6	46
65	RPL35A	46
66	ALDOA	46
67	RPL12	46
68	SNRPB	46
69	RPL7A	45
70	YWHAZ	45
71	HMGN2	45
72	RPS17	45
73	HSPA9	45
74	RAC1	45
75	HSPD1	45
76	HNRNPU	45
77	RPL29	45
78	HSP90AA1	44
79	RPS25	44
80	RPS12	44
81	RPS18	44
82	RPL27	44
83	ACTB	44
84	TUBB	43
85	RPS8	43
86	PTGES3	43
87	MORF4L2	42
88	YBX1	42
89	RPLP1	42
90	RPS21	42
91	RPL21	42
92	RPS4X	42
93	RPS20	41
94	SET	41
95	COX8A	41
96	RPL4	41
97	ENO1	41
98	PABPC1	41
99	RPL11	41
100	TPT1	41
101	RPL35	40
102	GAPDH	40
103	FTL	40
104	RPL10A	40
105	NPM1	40
106	RPS13	40
107	RPL3	39
108	RPS16	39
109	RPS28	39
110	EEF1B2	39
111	PRDX1	39
112	PTMA	39
113	RPS3	39
114	EEF2	39
115	RPS2	39
116	RPL24	38
117	RPLP0	38
118	RPL36	38
119	RPL13A	38
120	NDUFS5	38
121	RPL9	37
122	HSP90AB1	37
123	RPL8	37
124	RPL19	35
125	PRDX5	35
126	RPL5	35
127	RPL18A	35
128	RPL7	34
129	EEF1A1	34
130	RPS11	33
131	PFDN2	32
132	RPS27A	32
133	RPS19	32
134	RPS3A	31
135	RPL41	31
136	CCT4	24
137	RPS23	19
138	RPS14	19
139	CSDE1	17
140	FTH1	17
141	RPLP2	15
142	CCT7	11
143	RPL32	11
144	TUFM	11
145	YWHAB	11
146	PGAM1	8
147	RPS7	6
148	PPIB	5
149	CCT8	4
150	RAN	4
151	PSAP	4
152	RPS15	4
153	RPL13	4
154	KPNA2	4
155	CKS2	4
156	YWHAG	3
157	OAZ1	3
158	RAD21	3
159	GNAS	3
160	HNRNPA3	3
161	RPL36AL	3
162	SRP14	2
163	CCT6A	2
164	ACTG1	1
165	RPL15	1
166	HINT1	1
167	CFL1	1
168	HSP90B1	1
169	PDIA3	1
